"address_detail_pid","address","postcode","mb_code16","lga_code","ste_name16","geom"
GAVIC419884264,"33 Cosgrove Street","3133","20596900000","26980",Victoria,POINT (145.20531189 -37.83785385)
GAVIC419566527,"5 Barossa Avenue","3133","20596300000","26980",Victoria,POINT (145.19128289 -37.85531185)
GAVIC419581627,"515 Springvale Road","3133","20598860000","26980",Victoria,POINT (145.1706599 -37.84951385)
GAVIC419607488,"69/562 Burwood Highway","3133","20598030000","26980",Victoria,POINT (145.19186734 -37.86022449)
GAVIC423383453,"20 Hartland Road","3133","20595370000","26980",Victoria,POINT (145.18241694 -37.8589072)
GAVIC419592607,"65 Weeden Drive","3133","20596950000","26980",Victoria,POINT (145.17997349 -37.8594993)
GAVIC420164830,"121 Morack Road","3133","20594600000","26980",Victoria,POINT (145.19692575 -37.84813483)
GAVIC420794519,"24 Baranbali Drive","3133","20595320000","26980",Victoria,POINT (145.1727889 -37.85812585)
GAVIC420480023,"7 Monaro Court","3133","20631941190","26980",Victoria,POINT (145.1782649 -37.84855885)
GAVIC420483866,"10 Parvin Court","3133","20596340000","26980",Victoria,POINT (145.1746149 -37.85462185)
GAVIC421680782,"3 Clendon Court","3133","20598480000","26980",Victoria,POINT (145.19043589 -37.86298585)
GAVIC420498067,"19 Benson Street","3160","20649060000","27450",Victoria,POINT (145.35228886 -37.91233386)
GAVIC420504548,"9 Avonside Road","3160","20648640000","27450",Victoria,POINT (145.34588386 -37.92558186)
GAVIC421768790,"5 Wattle Avenue","3160","20647930000","27450",Victoria,POINT (145.34913696 -37.9073157)
GAVIC419898483,"71 Martin Street","3160","20648520000","27450",Victoria,POINT (145.35212186 -37.91524286)
GAVIC421727309,"31 Bartley Road","3160","20648830000","27450",Victoria,POINT (145.35252586 -37.92925287)
GAVIC421121082,"35 Horizon Road","3159","20649981000","27450",Victoria,POINT (145.37198385 -37.92864987)
GAVIC422427353,"28 Station Street","3160","20649360000","27450",Victoria,POINT (145.34770186 -37.91193586)
GAVIC419600787,"110 Colby Drive","3160","20649020000","27450",Victoria,POINT (145.35727586 -37.92898587)
GAVIC420508939,"7 Ash Grove","3159","20649241000","27450",Victoria,POINT (145.40239885 -37.92220887)
GAVIC421109653,"69 Kaola Street","3160","20650540000","27450",Victoria,POINT (145.35075686 -37.91625986)
GAVIC420764880,"10 Carole Avenue","3116","20652360000","27450",Victoria,POINT (145.31006988 -37.75673486)
GAVIC421666381,"9 Chirnside Drive","3116","20651400000","27450",Victoria,POINT (145.32416188 -37.75651186)
GAVIC421421167,"104 Rolling Hills Road","3116","20651420000","27450",Victoria,POINT (145.32246788 -37.74558286)
GAVIC411102124,"31 Paula Way","3116","20656510000","27450",Victoria,POINT (145.29661244 -37.75907446)
GAVIC421073831,"16 Harvest Drive","3116","20655210000","27450",Victoria,POINT (145.31343088 -37.75268286)
GAVIC421981757,"35 Valley Ho ","3116","20652630000","27450",Victoria,POINT (145.33349863 -37.74765996)
GAVIC421985744,"41 Victoria Road","3116","20656700000","27450",Victoria,POINT (145.33492888 -37.75674586)
GAVIC421656013,"21 Circle Ridge","3116","20651790000","27450",Victoria,POINT (145.31931888 -37.75482086)
GAVIC425403427,"10 Riverview Terrace","3116","20631982660","27450",Victoria,POINT (145.30357676 -37.71750336)
GAVIC421684263,"74 Country Club Drive","3116","20654080000","27450",Victoria,POINT (145.32472188 -37.75229386)
GAVIC419554736,"13 Omonia Drive","3777","20660080000","27450",Victoria,POINT (145.54904785 -37.68945088)
GAVIC414538675,"1 Links Grove","3777","20658980000","27450",Victoria,POINT (145.49525245 -37.645054)
GAVIC414546687,"19 Farnham Road","3777","20658920000","27450",Victoria,POINT (145.5286458 -37.65476253)
GAVIC423889776,"5/272 Mt Riddell Road","3777","20659970000","27450",Victoria,POINT (145.53956513 -37.66121433)
GAVIC421356430,"20 Chalet Road","3777","20659190000","27450",Victoria,POINT (145.53489485 -37.67902788)
GAVIC423436490,"2 Amalia Close","3775","20659120000","27450",Victoria,POINT (145.37270544 -37.65090495)
GAVIC411533910,"2/11 Haig Avenue","3777","20659160000","27450",Victoria,POINT (145.51254717 -37.65876226)
GAVIC422102343,"12/90 Maroondah Highway","3777","20659220000","27450",Victoria,POINT (145.51144024 -37.6596095)
GAVIC411569801,"48 Newgrove Road","3777","20658820000","27450",Victoria,POINT (145.52358646 -37.66260156)
GAVIC412684872,"4 Emary Court","3775","20659420000","27450",Victoria,POINT (145.37078858 -37.64673077)
GAVIC420183453,"1 Strzelecki Court","3137","20653280000","27450",Victoria,POINT (145.33114987 -37.80365586)
GAVIC719764903,"1/52 Lomond Avenue","3137","20653200000","27450",Victoria,POINT (145.31167457 -37.79868652)
GAVIC420168430,"27 Jacaranda Avenue","3137","20651540000","27450",Victoria,POINT (145.33549087 -37.80305986)
GAVIC419568803,"19 Tamworth Road","3137","20631933780","27450",Victoria,POINT (145.32419888 -37.80462986)
GAVIC419572530,"552 Mt Dandenong Road","3137","20631928420","27450",Victoria,POINT (145.31288588 -37.80264786)
GAVIC411693613,"794 Mt Dandenong Road","3137","20658140000","27450",Victoria,POINT (145.31746718 -37.80374556)
GAVIC419565022,"67 Alpine Way","3137","20654620000","27450",Victoria,POINT (145.33300387 -37.80353786)
GAVIC421080351,"7 Hillview Drive","3137","20655390000","27450",Victoria,POINT (145.32100188 -37.80788286)
GAVIC421703753,"7 Kilborn Court","3137","20658170000","27450",Victoria,POINT (145.32703387 -37.80887886)
GAVIC421684245,"106 Cambridge Road","3137","20631934130","27450",Victoria,POINT (145.32044088 -37.79502286)
GAVIC424906073,"79 Albert Hill Road","3140","20658570000","27450",Victoria,POINT (145.33617421 -37.75982468)
GAVIC411763640,"15 Haricot Way","3140","20656361000","27450",Victoria,POINT (145.33983688 -37.74093629)
GAVIC718992056,"41 Morokai Grove","3140","20652640000","27450",Victoria,POINT (145.34223521 -37.74917627)
GAVIC421371371,"10 Bastow Road","3140","20653500000","27450",Victoria,POINT (145.36348887 -37.75929986)
GAVIC413504503,"66 Edinburgh Road","3140","20656030000","27450",Victoria,POINT (145.35352223 -37.787165)
GAVIC413552958,"16 Old Gippsland Road","3140","20657222000","27450",Victoria,POINT (145.36116387 -37.76312951)
GAVIC719976323,"8 Janson Place","3140","20632006020","27450",Victoria,POINT (145.36109637 -37.75325113)
GAVIC421414807,"421 Main Street","3140","20652660000","27450",Victoria,POINT (145.35764387 -37.75670486)
GAVIC411164205,"80 Station Street","3770","20660950000","27450",Victoria,POINT (145.37136829 -37.72451652)
GAVIC420754776,"8 Bounty Court","3140","20631939160","27450",Victoria,POINT (145.36182207 -37.7525634)
GAVIC421092825,"181 Monbulk Road","3795","20661412000","27450",Victoria,POINT (145.41124786 -37.81967887)
GAVIC420205298,"8 David Street","3793","20661770000","27450",Victoria,POINT (145.4121319 -37.87793887)
GAVIC419595405,"13 David Street","3793","20661760000","27450",Victoria,POINT (145.41266785 -37.87849387)
GAVIC423476891,"40 Mt Pleasant Road","3793","20661840000","27450",Victoria,POINT (145.41069675 -37.87100628)
